Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:42:09  16.5   0.0  33.3  50.1   0.0    6   1750   5240   0.00E
14:42:09  19.2   0.0  31.0  49.8   0.0    5   2056   5516   0.00E
14:42:10  19.3   0.0  30.8  49.4   0.5    5   1804   5034   0.00E
14:42:10  17.3   0.0  32.8  49.9   0.0    5   1960   5140   0.00E
14:42:11  20.8   0.0  29.3  49.9   0.0    5   1810   4548   0.00E
14:42:11  16.5   0.0  33.6  49.9   0.0    6   1952   4726   0.00E
14:42:12  17.2   0.0  32.9  49.9   0.0    6   1740   4166   0.00E
14:42:12  17.6   0.0  32.7  49.7   0.0    5   2188   4462   0.00E
14:42:13  18.5   0.0  31.5  50.0   0.0    5   1728   3948   0.00E
14:42:13  17.3   0.0  32.8  49.6   0.3    5   2202   4310   0.00E
14:42:14  17.0   0.0  33.0  50.0   0.0    5   1642   5082   0.00E
14:42:14  18.2   0.0  32.5  49.2   0.0    5   2066   4432   0.00E
14:42:15  16.0   0.0  34.1  49.6   0.3    5   1778   4212   0.00E
14:42:15  15.5   0.0  34.8  49.8   0.0    5   2128   5074   0.00E
14:42:16  17.8   0.0  32.2  49.5   0.5    5   1872   4318   0.00E
14:42:16  17.0   0.0  33.1  49.9   0.0    5   2122   4712   0.00E
14:42:17  17.2   0.0  33.0  49.8   0.0    5   1830   4738   0.00E
14:42:17  17.3   0.0  32.7  50.0   0.0    5   2142   5624   0.00E
14:42:18  17.0   0.0  33.2  49.8   0.0    5   1714   2442   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:42:18  17.5   0.0  32.6  49.9   0.0    5   2032   2494   0.00E
14:42:19  17.8   0.0  32.2  50.0   0.0    5   1748   2382   0.00E
14:42:19  17.3   0.0  32.8  49.9   0.0    5   2008   2464   0.00E
14:42:20  20.8   0.0  29.5  49.8   0.0    5   1748   2346   0.00E
14:42:20  17.5   0.0  32.6  49.9   0.0    5   2084   2558   0.00E
14:42:21  18.0   0.0  32.2  49.8   0.0    5   1742   2366   0.00E
14:42:21  16.5   0.0  33.6  49.6   0.3    5   2120   2570   0.00E
14:42:22  19.8   0.0  32.0  48.2   0.0    7   3300   2492   0.00E
14:42:22  19.1   0.0  32.4  48.5   0.0    6   2738   2632   0.00E
14:42:23  17.3   0.0  32.8  49.9   0.0    5   1714   2304   0.00E
14:42:23  17.3   0.0  32.8  49.9   0.0    5   1974   2374   0.00E
14:42:24  17.5   0.0  32.6  49.9   0.0    5   1760   2290   0.00E
14:42:24  17.7   0.0  32.4  49.9   0.0    6   1960   2342   0.00E
14:42:25  17.0   0.0  33.1  49.9   0.0    5   1702   2292   0.00E
14:42:25  18.5   0.0  31.9  49.6   0.0    5   2056   2562   0.00E
14:42:26  17.5   0.0  32.6  49.9   0.0    5   1748   2258   0.00E
14:42:26  17.3   0.0  32.8  49.6   0.3    6   2016   2364   0.00E
14:42:27  16.8   0.0  33.2  50.0   0.0    5   1718   2244   0.00E
14:42:27  18.0   0.0  32.8  49.2   0.0    5   2110   2408   0.00E
14:42:28  20.3   0.0  29.8  49.9   0.0    5   1736   2274   0.00E
14:42:28  17.3   0.0  32.8  49.9   0.0    5   2004   2442   0.00E
14:42:29  17.8   0.0  32.5  49.5   0.2    5   1966   2528   0.00E
14:42:29  17.3   0.0  32.8  49.9   0.0    5   2028   2394   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:42:30  17.2   0.0  32.8  50.0   0.0    5   1720   2244   0.00E
14:42:30  17.8   0.0  32.5  49.8   0.0    5   1922   2454   0.00E
14:42:31  18.0   0.0  32.1  49.9   0.0    5   1622   2394   0.00E
14:42:31  17.5   0.0  32.8  49.2   0.5    5   2138   2528   0.00E
14:42:32  17.0   0.0  33.1  49.9   0.0    6   1696   2204   0.00E
14:42:32  16.5   0.0  33.6  49.9   0.0    5   2070   2436   0.00E
14:42:33  16.5   0.0  33.8  49.8   0.0    5   1794   2306   0.00E
14:42:33  16.1   0.0  33.9  50.0   0.0    5   1884   2348   0.00E
14:42:34  16.5   0.0  33.7  49.9   0.0    5   1644   2308   0.00E
14:42:34  17.3   0.0  32.9  49.7   0.0    5   2000   2428   0.00E
14:42:35  16.2   0.0  34.0  49.8   0.0    5   1804   2396   0.00E
14:42:35  18.1   0.0  32.2  49.5   0.3    5   2292   2610   0.00E
14:42:36  17.0   0.0  33.2  49.9   0.0    5   1754   2318   0.00E
14:42:36  17.6   0.0  32.5  49.9   0.0    5   2040   2386   0.00E
14:42:37  16.0   0.0  34.2  49.9   0.0    5   1748   2344   0.00E
14:42:37  17.8   0.0  32.8  49.4   0.0    5   2612   2740   0.00E
14:42:38  18.3   0.0  31.8  49.9   0.0    5   2004   2456   0.00E
14:42:38  16.2   0.0  34.5  49.2   0.0    5   2192   2426   0.00E
14:42:39  17.5   0.0  32.5  50.0   0.0    5   1790   2264   0.00E
14:42:39  16.0   0.0  34.1  49.9   0.0    5   1976   2360   0.00E
14:42:40  19.8   0.0  30.5  49.8   0.0    5   1676   2212   0.00E
14:42:40  19.0   0.0  31.2  49.5   0.2    5   1958   2394   0.00E
14:42:41  16.5   0.0  33.6  49.9   0.0    5   1674   2362   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:42:41  18.8   0.0  31.5  49.8   0.0    5   1896   2600   0.00E
14:42:42  15.8   0.0  34.3  49.9   0.0    5   1634   2132   0.00E
14:42:42  18.0   0.0  32.4  49.6   0.0    5   1998   2342   0.00E
14:42:43  18.5   0.0  31.8  49.8   0.0    5   1812   2290   0.00E
14:42:43  18.0   0.0  32.1  49.9   0.0    5   1938   2466   0.00E
14:42:44  17.5   0.0  32.5  50.0   0.0    5   1746   2402   0.00E
14:42:44  19.1   0.0  31.2  49.5   0.3    5   2174   2636   0.00E
14:42:45  14.5   0.0  35.5  50.0   0.0    5   1842   2440   0.00E
14:42:45  18.6   0.0  31.7  49.7   0.0    5   2006   2522   0.00E
14:42:46  19.0   0.0  31.1  49.6   0.3    5   1726   2462   0.00E
14:42:46  17.8   0.0  32.5  49.8   0.0    5   1944   2552   0.00E
14:42:47  16.3   0.0  33.8  49.9   0.0    5   1920   2706   0.00E
14:42:47  16.5   0.0  33.8  49.6   0.0    6   1926   2408   0.00E
14:42:48  17.0   0.0  33.0  50.0   0.0    5   1776   2396   0.00E
14:42:48  16.5   0.0  33.6  49.9   0.0    5   1896   2344   0.00E
14:42:49  16.3   0.0  33.8  49.9   0.0    5   1790   2346   0.00E
14:42:49  17.0   0.0  33.1  49.9   0.0    5   2016   2476   0.00E
14:42:50  18.5   0.0  31.8  49.8   0.0    5   1780   2514   0.00E
14:42:50  19.8   0.0  30.8  49.4   0.0    5   2074   2444   0.00E
14:42:51  18.0   0.0  32.2  49.5   0.2    6   1774   2392   0.00E
14:42:51  18.5   0.0  31.5  50.0   0.0    5   1854   2350   0.00E
14:42:52  17.8   0.0  32.3  49.9   0.0    5   1794   2364   0.00E
14:42:52  17.8   0.0  33.4  48.7   0.0    5   2690   2754   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:42:53  17.2   0.0  33.0  49.8   0.0    5   1822   2416   0.00E
14:42:53  17.8   0.0  32.5  49.8   0.0    5   2144   2446   0.00E
14:42:54  16.8   0.0  33.2  50.0   0.0    5   1826   2396   0.00E
14:42:54  18.2   0.0  31.8  49.8   0.2    5   2102   2538   0.00E
14:42:55  17.5   0.0  32.8  49.8   0.0    5   1850   2666   0.00E
14:42:55  17.8   0.0  32.3  49.9   0.0    5   2006   2532   0.00E
14:42:56  17.2   0.0  33.0  49.8   0.0    5   1812   2342   0.00E
14:42:56  18.0   0.0  32.1  49.6   0.3    6   1946   2358   0.00E
14:42:57  17.5   0.0  32.5  50.0   0.0    5   1794   2316   0.00E
14:42:57  16.0   0.0  34.2  49.8   0.0    5   1926   2312   0.00E
14:42:58  14.5   0.0  35.8  49.8   0.0    5   1880   2394   0.00E
14:42:58  16.0   0.0  34.1  49.9   0.0    5   1904   2380   0.00E
14:42:59  18.2   0.0  32.0  49.8   0.0    5   1852   2494   0.00E
14:42:59  17.2   0.0  33.0  49.8   0.0    6   1962   2358   0.00E
14:43:00  17.0   0.0  33.2  49.8   0.0    5   1912   2614   0.00E
14:43:00  16.5   0.0  33.5  50.0   0.0    5   1934   2518   0.00E
14:43:01  17.5   0.0  32.8  49.8   0.0    5   1844   2446   0.00E
14:43:01  16.2   0.0  34.0  49.2   0.5    5   2276   2734   0.00E
14:43:02  16.8   0.0  33.3  49.9   0.0    5   1948   2700   0.00E
14:43:02  17.5   0.0  33.3  49.1   0.0    5   2190   2594   0.00E
14:43:03  18.0   0.0  32.1  49.9   0.0    6   1860   2438   0.00E
14:43:03  17.2   0.0  32.8  50.0   0.0    5   1958   2394   0.00E
14:43:04  18.0   0.0  32.1  49.9   0.0    5   1734   2372   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:43:04  17.5   0.0  32.8  49.8   0.0    5   2008   2340   0.00E
14:43:05  16.0   0.0  34.0  50.0   0.0    6   1776   2234   0.00E
14:43:05  17.8   0.0  32.3  49.9   0.0    5   2034   2458   0.00E
14:43:06  17.0   0.0  32.8  50.1   0.0    5   1810   2400   0.00E
14:43:06  17.6   0.0  32.7  49.5   0.3    5   1986   2402   0.00E
14:43:07  15.0   0.0  35.2  49.9   0.0    6   1840   2540   0.00E
14:43:07  16.5   0.0  33.6  49.9   0.0    5   1846   2428   0.00E
14:43:08  18.5   0.0  32.3  49.1   0.0    6   2278   2582   0.00E
14:43:08  18.0   0.0  32.1  49.9   0.0    5   1882   2422   0.00E
14:43:09  17.2   0.0  32.9  49.9   0.0    5   1658   2486   0.00E
